id_orden,fecha,id_cliente,producto,categoria,marca,region,canal,metodo_pago,unidades,precio_unitario,descuento_pct,venta
ORD-00001,01/03/2026,C-0559,Bicicleta Urban 21,Deportes,Move,Sur,Web,Tarjeta crédito,2,7499,0,14998
ORD-00023,01/03/2026,C-0235,Smartphone X1,Electrónica,Nova,Occidente,Web,Tarjeta crédito,1,8999,0,8999
ORD-00039,01/03/2026,C-0271,Bicicleta Urban 21,Deportes,Move,Occidente,App,Transferencia,2,7499,0,14998
ORD-00042,01/03/2026,C-0723,Cafetera HomeBrew,Hogar,HomePlus,Norte,Web,Transferencia,1,1799,0,1799
ORD-00043,01/03/2026,C-0379,Freidora AirCook,Hogar,KitchenLab,Centro,Marketplace,Tarjeta débito,1,2499,0,2499
ORD-00129,01/03/2026,C-0509,Licuadora MixPlus,Hogar,HomePlus,Occidente,App,PayPal,1,1199,0,1199
ORD-00170,01/03/2026,C-0371,Audífonos AirBeat,Electrónica,SoundPro,Sureste,Web,Transferencia,1,1499,0,1499
ORD-00229,01/03/2026,C-0586,Tenis Casual Street,Moda,Urban Co.,Centro,Marketplace,PayPal,1,1399,0,1399
ORD-00236,01/03/2026,C-0050,Aspiradora CleanPro,Hogar,CleanPro,Centro,Web,Tarjeta débito,1,3299,0,3299
ORD-00333,01/03/2026,C-0748,Audífonos AirBeat,Electrónica,SoundPro,Norte,Web,Transferencia,2,1499,0,2998
ORD-00403,01/03/2026,C-0868,Sudadera Essential,Moda,BasicLab,Sureste,Web,Tarjeta débito,1,999,10,899.1
ORD-00405,01/03/2026,C-0457,Licuadora MixPlus,Hogar,HomePlus,Norte,Web,Tarjeta crédito,1,1199,15,1019.15
ORD-00408,01/03/2026,C-0935,Mochila Training,Deportes,Move,Sureste,App,Tarjeta crédito,1,899,5,854.05
ORD-00424,01/03/2026,C-0002,Aspiradora CleanPro,Hogar,CleanPro,Centro,Web,Tarjeta crédito,1,3299,0,3299
ORD-00499,01/03/2026,C-0619,Jeans Classic,Moda,Urban Co.,Centro,Web,Tarjeta débito,1,899,0,899
ORD-00529,01/03/2026,C-0045,Jeans Classic,Moda,Urban Co.,Sureste,Marketplace,Tarjeta crédito,1,899,10,809.1
ORD-00533,01/03/2026,C-0572,Chamarra Urban,Moda,Urban Co.,Norte,Web,Tarjeta crédito,2,1599,0,3198
ORD-00572,01/03/2026,C-0671,Cafetera HomeBrew,Hogar,HomePlus,Occidente,App,Tarjeta débito,1,1799,0,1799
ORD-00612,01/03/2026,C-0087,Mochila Training,Deportes,Move,Sur,App,Transferencia,1,899,0,899
ORD-00614,01/03/2026,C-0892,Tenis Casual Street,Moda,Urban Co.,Centro,Web,Transferencia,1,1399,10,1259.1
ORD-00619,01/03/2026,C-0194,Tenis Runner Pro,Deportes,Move,Sur,App,Tarjeta débito,1,1899,10,1709.1
ORD-00632,01/03/2026,C-0790,Sudadera Essential,Moda,BasicLab,Sureste,App,Tarjeta débito,1,999,5,949.05
ORD-00717,01/03/2026,C-0153,Mochila Training,Deportes,Move,Centro,App,PayPal,1,899,15,764.15
ORD-00718,01/03/2026,C-0192,Cafetera HomeBrew,Hogar,HomePlus,Norte,Web,Tarjeta débito,1,1799,0,1799
ORD-00724,01/03/2026,C-0911,Tenis Runner Pro,Deportes,Move,Centro,Web,PayPal,1,1899,10,1709.1
ORD-00727,01/03/2026,C-0278,Cafetera HomeBrew,Hogar,HomePlus,Sureste,App,Tarjeta crédito,1,1799,5,1709.05
ORD-00742,01/03/2026,C-0458,Bicicleta Urban 21,Deportes,Move,Sur,App,Tarjeta débito,1,7499,0,7499
ORD-00778,01/03/2026,C-0273,Sudadera Essential,Moda,BasicLab,Sureste,Web,Tarjeta débito,1,999,15,849.15
ORD-00798,01/03/2026,C-0884,Aspiradora CleanPro,Hogar,CleanPro,Occidente,Web,Transferencia,1,3299,20,2639.2
ORD-00811,01/03/2026,C-0436,Mochila Training,Deportes,Move,Norte,Web,Transferencia,1,899,10,809.1
ORD-00888,01/03/2026,C-0587,Freidora AirCook,Hogar,KitchenLab,Occidente,App,Transferencia,1,2499,0,2499
ORD-00916,01/03/2026,C-0004,Freidora AirCook,Hogar,KitchenLab,Sur,App,Tarjeta crédito,1,2499,0,2499
ORD-00971,01/03/2026,C-0516,Smartphone X1,Electrónica,Nova,Norte,Web,Tarjeta débito,2,8999,0,17998
ORD-01030,01/03/2026,C-0506,Smartwatch FitGo,Deportes,FitGo,Centro,Marketplace,Tarjeta crédito,1,2299,10,2069.1
ORD-01033,01/03/2026,C-0465,Tenis Casual Street,Moda,Urban Co.,Sureste,App,Tarjeta débito,1,1399,0,1399
